vehicle_class,vehicle_count,valid_vehicle_count,class_before_median_fe,avg_before_fe,avg_after_fe,avg_before_fes,avg_after_fes,avg_fes_change,avg_fe_change_pct
Heavy-Duty,4,4,3.9738431593043173,3.991114171797302,3.934802243676362,98.8259001721064,97.66076830082196,-1.1651318712844407,-1.4438428697097752
Light-Duty,8,8,8.875761198570189,8.937542702803846,8.501719485173792,96.33441541287117,93.46622095018647,-2.8681944626846985,-4.442553672630945
