vehicle,period,legacy_distance_km,legacy_fuel_used_l,legacy_fuel_efficiency_km_l,legacy_avg_speed_kmh,legacy_avg_rpm,legacy_rpm_efficiency_ratio,legacy_idle_ratio,legacy_harsh_braking_record_count,legacy_side_accel_record_count,v2_distance_km,v2_fuel_used_l,v2_fuel_efficiency_km_l,v2_avg_speed_kmh,v2_avg_rpm,v2_rpm_efficiency_ratio,v2_idle_ratio,v2_harsh_braking_event_count,v2_side_accel_event_count,distance_km_delta,distance_km_change_pct,fuel_used_l_delta,fuel_used_l_change_pct,fuel_efficiency_km_l_delta,fuel_efficiency_km_l_change_pct,avg_speed_kmh_delta,avg_speed_kmh_change_pct,avg_rpm_delta,avg_rpm_change_pct,rpm_efficiency_ratio_delta,rpm_efficiency_ratio_change_pct,idle_ratio_delta,idle_ratio_change_pct,rpm_efficiency_change_pp,idle_ratio_change_pp,harsh_event_reduction_pct,side_event_reduction_pct
HDV_01,after,9926.9,2484.3800000000047,3.995725291622047,37.70373739670987,1018.7263054363376,0.3773247496423462,0.1559130175752159,1052,1277,9905.9,2470.449999999997,4.009755307737462,51.197820971861,1134.1454794232543,0.4637481424190655,0.1905974959890157,4.0,11.0,-21.0,-0.21154640421481027,-13.930000000007567,-0.5607032740566074,0.014030016115415211,0.3511256428171464,13.49408357515113,35.78977710662885,115.41917398691669,11.329752983798794,0.08642339277671929,22.904247033526744,0.03468447841379982,22.246043950157823,8.64233927767193,3.468447841379982,99.61977186311786,99.13860610806577
HDV_01,before,8796.2,2179.5800000000017,4.035731654722467,38.437950105439064,1056.4394337871288,0.3952660891089108,0.1376541115258455,842,996,9614.0,2370.0899999999965,4.056386044411822,51.892810110749835,1136.4867608863908,0.4580000960573487,0.1734236332200471,2.0,7.0,817.7999999999993,9.297196516677648,190.50999999999476,8.74067480890789,0.020654389689354957,0.5117879843469261,13.45486000531077,35.00410393479041,80.04732709926202,7.577086252101363,0.06273400694843789,15.871335456544134,0.03576952169420161,25.98507323734071,6.273400694843789,3.576952169420161,99.7624703087886,99.29718875502009
HDV_02,after,9563.0,2587.0599999999977,3.696473989779908,42.02635316872677,1082.6741884402218,0.4251781472684085,0.0958443632085381,2437,2864,9402.6,2545.7000000000116,3.693522410338986,53.8088613243883,1123.7389926847875,0.4837821574038873,0.1142733733843431,5.0,47.0,-160.39999999999964,-1.677297919063052,-41.35999999998603,-1.5987259669271707,-0.0029515794409218366,-0.07984851101569841,11.782508155661532,28.035999479558203,41.06480424456572,3.7929050755081386,0.05860401013547878,13.783401266500874,0.01842901017580499,19.22805844690852,5.860401013547878,1.8429010175804992,99.79482970865818,98.35893854748603
HDV_02,before,7977.5,2061.6900000000023,3.86939840616193,42.696136345493734,1056.3770826102048,0.4101006594932315,0.1074503204090879,1368,1549,8495.900000000001,2195.459999999992,3.869758501635208,54.423085085147925,1102.891300260712,0.4505637727952362,0.1363186614788425,8.0,32.0,518.4000000000015,6.498276402381717,133.76999999998952,6.488366340234922,0.00036009547327786606,0.00930623925167339,11.72694873965419,27.466065418099323,46.514217650507135,4.403183145129866,0.040463113302004694,9.866629659168474,0.028868341069754597,26.86668681847223,4.046311330200469,2.8868341069754595,99.41520467836257,97.93415106520335
HDV_03,after,10545.9,2715.87999999999,3.883050797531569,38.524647260709294,1048.4572677241829,0.3963526491852811,0.13650208701538,1444,1635,10543.1,2715.6600000000035,3.88233431283739,49.94238764963716,1096.1113653678758,0.433943081486994,0.1778761839425692,6.0,21.0,-2.7999999999992724,-0.02655060260384863,-0.21999999998661224,-0.008100505176466303,-0.0007164846941791758,-0.018451592099558434,11.417740388927868,29.6374949565668,47.65409764369292,4.545163557035808,0.037590432301712884,9.484087561665486,0.04137409692718921,30.310230291590706,3.7590432301712884,4.137409692718921,99.58448753462605,98.71559633027523
HDV_03,before,9271.6,2380.9300000000076,3.8941086046208713,39.35382059800664,1067.8181566893063,0.4086242299794661,0.1410249987475577,1182,1377,10175.4,2614.9100000000035,3.891300274196813,50.83287139107603,1111.9360882969804,0.4437449301125999,0.1806520146627815,2.0,21.0,903.7999999999993,9.748047801889633,233.97999999999593,9.827252376172133,-0.0028083304240582585,-0.07211741400139189,11.47905079306939,29.16883448325429,44.11793160767411,4.131595939935933,0.035120700133133786,8.594864806450328,0.0396270159152238,28.099284713455862,3.5120700133133784,3.96270159152238,99.83079526226734,98.47494553376906
HDV_04,after,8872.0,2136.1100000000006,4.15334416298786,38.170980431459995,1112.7395993836672,0.4443522579115799,0.0879684418145956,1392,1690,8872.0,2135.9799999999996,4.15359694379161,51.68741895794527,1155.1776891299926,0.4936728601159137,0.1138142843898896,0.0,29.0,0.0,0.0,-0.13000000000101863,-0.006085828913352711,0.00025278080374935286,0.006086199309028745,13.516438526485274,35.41024719224978,42.43808974632543,3.8138383652232175,0.04932060220433382,11.099437738009188,0.025845842575294,29.380812075502394,4.932060220433382,2.5845842575294,100.0,98.28402366863905
HDV_04,before,7122.3,1719.380000000001,4.142365271202408,38.20581296593375,1110.567151506202,0.4407855877141169,0.0836315440689198,1252,1418,7558.799999999999,1822.7100000000028,4.147011866945366,51.3977555253135,1145.2010847518509,0.4774183718722585,0.113769290145924,5.0,28.0,436.4999999999991,6.128638220799448,103.33000000000175,6.009724435552449,0.004646595742958226,0.11217252556796989,13.191942559379747,34.528626759342494,34.633933245648905,3.118580735858861,0.036632784158141585,8.310794449545556,0.0301377460770042,36.03633821727365,3.6632784158141583,3.0137746077004204,99.60063897763578,98.02538787023978
LDV_01,after,2129.3,208.53000000000063,10.211000815230392,23.3518000065874,1231.9513393980046,0.2920684161985411,0.1460278376252522,5377,5790,2129.3,208.5699999999997,10.20904252768856,24.56795714090199,1182.3556097424594,0.2266415596059671,0.2614576533615948,45.0,98.0,0.0,0.0,0.03999999999908255,0.01918189229323475,-0.0019582875418322487,-0.019178213548972905,1.2161571343145887,5.207980258359177,-49.595729655545256,-4.025786414565717,-0.06542685659257402,-22.40120908797561,0.11542981573634262,79.04644594722235,-6.542685659257402,11.542981573634261,99.16310210154361,98.30742659758204
LDV_01,before,1948.4,175.03000000000063,11.131805976118338,24.641248634568523,1257.8537021630616,0.291846921797005,0.1499492967682201,4190,4366,2086.4,187.97000000000116,11.099643560142509,28.004570053365978,1225.8831975942585,0.23519487468402,0.2434942046368635,53.0,73.0,138.0,7.082734551426811,12.940000000000538,7.393018339713472,-0.03216241597582936,-0.2889236126180165,3.3633214187974545,13.649151748256557,-31.970504568803108,-2.5416711429815084,-0.05665204711298499,-19.411562323206375,0.09354490786864339,62.384359169911804,-5.665204711298499,9.35449078686434,98.73508353221958,98.3279890059551
LDV_02,after,2041.2,223.27000000000044,9.142294083396768,27.385850251215228,1231.1486148245065,0.3071278229705899,0.1236664675258171,1463,1636,2041.2,223.27000000000044,9.142294083396765,30.928790191137825,1263.673251694615,0.2648609003378538,0.211590356965736,7.0,24.0,0.0,0.0,0.0,0.0,-3.552713678800501e-15,-3.886019905280175e-14,3.542939939922597,12.937118648581603,32.52463687010845,2.6418124082237355,-0.04226692263273607,-13.761997276548756,0.0879238894399189,71.0975992110097,-4.226692263273607,8.79238894399189,99.52153110047847,98.53300733496333
LDV_02,before,1712.9,176.96999999999937,9.679041645476673,28.708196394781396,1249.7620929381633,0.2974021222100256,0.1186798123055833,1148,1209,1819.1,188.5599999999995,9.64732711073401,32.07732089806216,1276.549403058744,0.2772242821296154,0.2023409293240702,3.0,10.0,106.19999999999982,6.2000116761048405,11.590000000000117,6.54913262134834,-0.0317145347426635,-0.32766193084296447,3.3691245032807657,11.735758167981631,26.78731012058074,2.143392752264102,-0.02017784008041018,-6.784699426643827,0.08366111701848689,70.49313222965978,-2.0177840080410183,8.366111701848688,99.73867595818815,99.17287014061208
LDV_03,after,2158.0,254.08999999999992,8.493053642410173,18.477580451328617,1143.3041026659605,0.3261387711864407,0.1690125080448834,3542,4450,2158.0,254.08999999999992,8.493053642410173,17.429685981447392,1081.6346632118334,0.2140859885604916,0.2723970633717468,11.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.047894469881225,-5.671167134904163,-61.66943945412709,-5.393966426808587,-0.11205278262594909,-34.357394006949555,0.10338455532686339,61.169765790001954,-11.20527826259491,10.33845553268634,99.68944099378882,98.42696629213484
