vehicle,before_avg_coolant_temp,after_avg_coolant_temp,temp_change
LDV_02,78.41894353369763,82.67981790591806,4.260874372220428
LDV_07,86.96344647519582,90.17948717948718,3.216040704291359
LDV_01,80.46573208722741,83.0499457111835,2.5842136239560887
LDV_08,82.79238095238095,84.95108695652173,2.1587060041407824
LDV_05,84.09611992945327,86.16050354051927,2.064383611066006
LDV_06,77.51729323308271,79.49411764705883,1.976824413976118
HDV_04,67.85689948892674,69.64884393063583,1.7919444417090915
LDV_03,88.49599358974359,89.83321504613201,1.33722145638842
HDV_03,75.91478373143964,76.81992574257426,0.9051420111346147
HDV_02,75.42063492063492,75.62302158273381,0.20238666209888834
HDV_01,77.21795247873277,77.1973595125254,-0.020592966207374275
