vehicle,component,direction,baseline_scope,before_metric,after_metric,baseline,before_current_capped,after_current_capped,before_raw_ratio,after_raw_ratio,directional_metric_change,before_bounded_0_200,after_bounded_0_200
LDV_06,FES,higher,vehicle_class_before_median,7.008864589415596,7.650745168255292,8.875761198570189,78.96634928105847,86.19818624106024,78.96634928105847,86.19818624106024,0.6418805788396957,88.24714768813374,92.58756809742964
LDV_04,FES,higher,vehicle_class_before_median,8.858204992034022,8.922994283083327,8.875761198570189,99.80220055335651,100.0,99.80220055335651,100.53215812657,0.06478929104930486,99.90100236829441,100.2653729613951
HDV_04,FES,higher,vehicle_class_before_median,4.147011866945366,4.15359694379161,3.9738431593043178,100.0,100.0,104.35771369676716,104.52342423395392,0.006585076846243432,102.13239501359526,102.21169005501275
HDV_03,FES,higher,vehicle_class_before_median,3.891300274196813,3.88233431283739,3.9738431593043178,97.92284491867176,97.69722047905516,97.92284491867176,97.69722047905516,-0.00896596135942307,98.95052282510301,98.83519883822098
HDV_01,FES,higher,vehicle_class_before_median,4.056386044411822,4.009755307737462,3.9738431593043178,100.0,100.0,102.07715508132824,100.90371328191604,-0.04663073667435924,101.02790198154376,100.4498240809755
LDV_03,FES,higher,vehicle_class_before_median,8.85971492873218,8.493053642410173,8.875761198570189,99.8192124655112,95.68817200465392,99.8192124655112,95.68817200465392,-0.3666612863220067,99.90952444849614,97.79658220975993
HDV_02,FES,higher,vehicle_class_before_median,3.869758501635208,3.693522410338986,3.9738431593043178,97.38075576975386,92.9458527242327,97.38075576975386,92.9458527242327,-0.17623609129622197,98.6729991887854,96.34397569257452
LDV_02,FES,higher,vehicle_class_before_median,9.64732711073401,9.142294083396765,8.875761198570189,100.0,100.0,108.69295483398216,103.00292987681456,-0.5050330273372445,104.165428028415,101.47925445146865
LDV_05,FES,higher,vehicle_class_before_median,8.961306964746495,8.427178518556358,8.875761198570189,100.0,94.94598074488424,100.9638132917556,94.94598074488424,-0.5341284461901363,100.47959544356195,97.407477068363
LDV_01,FES,higher,vehicle_class_before_median,11.099643560142509,10.20904252768856,8.875761198570189,100.0,100.0,125.05568042919596,115.02159983003094,-0.8906010324539491,111.13310287543648,106.9860887659217
LDV_07,FES,higher,vehicle_class_before_median,8.17347200821776,7.424729322193092,8.875761198570189,92.08756100304318,83.65174722579461,92.08756100304318,83.65174722579461,-0.7487426860246673,95.88081656321752,91.09823183217219
LDV_08,FES,higher,vehicle_class_before_median,8.891807468408198,7.743718335806771,8.875761198570189,100.0,87.24568138509878,100.1807875344888,87.24568138509878,-1.1480891326014264,100.09031213070719,93.18845779483156
LDV_06,RES,higher,fleet_before_median,0.168922102685738,0.209174247881974,0.23990741839765825,70.41137110889227,87.18957057645356,70.41137110889227,87.18957057645356,0.04025214519623599,82.63693983648503,93.15644061573704
HDV_02,RES,higher,fleet_before_median,0.4505637727952362,0.4837821574038873,0.23990741839765825,100.0,100.0,187.8073532717545,201.65368817482533,0.03321838460865112,130.50907222264217,133.6988050071217
LDV_07,RES,higher,fleet_before_median,0.2151085381482547,0.2427068579131237,0.23990741839765825,89.663145718863,100.0,89.663145718863,101.16688326445382,0.02759831976486901,94.54988778027584,100.58005733623651
HDV_04,RES,higher,fleet_before_median,0.4774183718722585,0.4936728601159137,0.23990741839765825,100.0,100.0,199.00108761160288,205.77640467024943,0.01625448824365522,133.11061120292763,134.59272954180986
LDV_03,RES,higher,fleet_before_median,0.2065433510049061,0.2140859885604916,0.23990741839765825,86.092940511973,89.23691897081466,86.092940511973,89.23691897081466,0.007542637555585513,92.52682049637868,94.31237779196496
HDV_01,RES,higher,fleet_before_median,0.4580000960573487,0.4637481424190655,0.23990741839765825,100.0,100.0,190.9070170136178,193.30296058222777,0.005748046361716774,131.2495098766773,131.81112130508828
LDV_01,RES,higher,fleet_before_median,0.23519487468402,0.2266415596059671,0.23990741839765825,98.03568237067726,94.47042576661704,98.03568237067726,94.47042576661704,-0.008553315078052903,99.00809914364524,97.15659889590668
HDV_03,RES,higher,fleet_before_median,0.4437449301125999,0.433943081486994,0.23990741839765825,100.0,100.0,184.96507239183035,180.87939271961665,-0.009801848625605902,129.81596013809104,128.7950610888543
LDV_02,RES,higher,fleet_before_median,0.2772242821296154,0.2648609003378538,0.23990741839765825,100.0,100.0,115.55469354853489,110.40129651132088,-0.012363381791761607,107.21612380248754,104.94355152928499
LDV_05,RES,higher,fleet_before_median,0.203935055624286,0.1902697743629433,0.23990741839765825,85.00573137186349,79.30966688473211,85.00573137186349,79.30966688473211,-0.013665281261342699,91.89524101931855,88.46111675140833
LDV_04,RES,higher,fleet_before_median,0.1721353966265915,0.1543113930244074,0.23990741839765825,71.75076026255624,64.3212261025746,71.75076026255624,64.3212261025746,-0.017824003602184085,83.55218940850159,78.28717887295123
LDV_08,RES,higher,fleet_before_median,0.2446199621112965,0.202750234002471,0.23990741839765825,100.0,84.511865183928,101.96431762932272,84.511865183928,-0.0418697281088255,100.97260627638589,91.60588680807444
HDV_02,IES,lower,fleet_before_median,0.1363186614788425,0.1142733733843431,0.25066728600638116,100.0,100.0,183.8833240343152,219.35756211842588,0.022045288094499405,129.54852114672843,137.37427143627963
LDV_07,IES,lower,fleet_before_median,0.2747752193369578,0.2557577462476921,0.25066728600638116,91.22630731084487,98.00965549783152,91.22630731084487,98.00965549783152,0.019017473089265713,95.41187987545396,98.9948245214788
LDV_06,IES,lower,fleet_before_median,0.3190014767279618,0.304904048001703,0.25066728600638116,78.578722762511,82.21185899276125,78.578722762511,82.21185899276125,0.014097428726258798,88.00457472978076,90.23766010315201
HDV_03,IES,lower,fleet_before_median,0.1806520146627815,0.1778761839425692,0.25066728600638116,100.0,100.0,138.7569834049708,140.92234297499544,0.0027758307202122856,116.23281667084586,116.98569857393535
HDV_04,IES,lower,fleet_before_median,0.113769290145924,0.1138142843898896,0.25066728600638116,100.0,100.0,220.3294805521486,220.24237761551885,-4.4994243965590375e-05,137.56428548029294,137.54730354890168
LDV_08,IES,lower,fleet_before_median,0.2637612770736135,0.2657566740296038,0.25066728600638116,95.03566588222958,94.3221038273749,95.03566588222958,94.3221038273749,-0.0019953969559902696,97.45465318083508,97.07810070970153
LDV_05,IES,lower,fleet_before_median,0.3066105642971297,0.3133990218471529,0.25066728600638116,81.754288728116,79.98342960005584,81.754288728116,79.98342960005584,-0.006788457550023219,89.96133109179199,88.8786593052353
LDV_02,IES,lower,fleet_before_median,0.2023409293240702,0.211590356965736,0.25066728600638116,100.0,100.0,123.88362890481308,118.46819940238257,-0.009249427641665808,110.66787644172388,108.45349549861358
LDV_03,IES,lower,fleet_before_median,0.2578403673758988,0.2723970633717468,0.25066728600638116,97.21801460239924,92.02275637762274,97.21801460239924,92.02275637762274,-0.014556695995847968,98.58938576011457,95.84567799522176
HDV_01,IES,lower,fleet_before_median,0.1734236332200471,0.1905974959890157,0.25066728600638116,100.0,100.0,144.54044201018675,131.5165683083409,-0.017173862768968595,118.21393698484087,113.61309410321172
LDV_01,IES,lower,fleet_before_median,0.2434942046368635,0.2614576533615948,0.25066728600638116,100.0,95.8729961749138,102.94589408409752,95.8729961749138,-0.017963448724731323,101.45156624005251,97.89302052570798
LDV_04,IES,lower,fleet_before_median,0.2887405385742467,0.3404588368422407,0.25066728600638116,86.81402592241983,73.6263121648781,86.81402592241983,73.6263121648781,-0.05171829826799401,92.94165734479913,84.81008580653544
LDV_06,DSS,lower,fleet_before_positive_median,18.100575583156616,7.571585903083701,6.039110429447852,33.36419000436379,79.7601784718349,33.36419000436379,79.7601784718349,10.528989680072915,50.03470572313615,88.74065340820948
LDV_03,DSS,lower,fleet_before_positive_median,6.456392887383573,3.7534754402224286,6.039110429447852,93.53691038921856,100.0,93.53691038921856,160.8938309475119,2.7029174471611443,96.66053901667458,123.34046409850252
LDV_04,DSS,lower,fleet_before_positive_median,17.635891286970423,11.007911936704504,6.039110429447852,34.24329585150941,54.861543807515346,34.24329585150941,54.861543807515346,6.627979350265919,51.01676867258527,70.85237878773225
HDV_04,DSS,lower,fleet_before_positive_median,0.4365772344816638,0.3268710550045086,6.039110429447852,100.0,100.0,1383.2856943669822,1847.551301036598,0.10970617947715522,186.5164208918395,189.7306941340365
LDV_05,DSS,lower,fleet_before_positive_median,39.27589074393911,35.619093772716255,6.039110429447852,15.376125951719589,16.954699824715163,15.376125951719589,16.954699824715163,3.656796971222853,26.65391271354335,28.993618640594814
LDV_01,DSS,lower,fleet_before_positive_median,6.039110429447852,6.715822101160004,6.039110429447852,100.0,89.92362124072248,100.0,89.92362124072248,-0.6767116717121517,100.0,94.69450998593481
HDV_03,DSS,lower,fleet_before_positive_median,0.2260353401340487,0.2560916618451878,6.039110429447852,100.0,100.0,2671.7549679914646,2358.183154396728,-0.03005632171113909,192.78435495526762,191.86390974804792
HDV_02,DSS,lower,fleet_before_positive_median,0.4708153344554431,0.553038521260077,6.039110429447852,100.0,100.0,1282.6919574386502,1091.9873023831994,-0.08222318680463392,185.53546226084316,183.2212977772389
HDV_01,DSS,lower,fleet_before_positive_median,0.0936134803411691,0.1514249083879304,6.039110429447852,100.0,100.0,6451.111963190185,3988.1882668711655,-0.0578114280467613,196.94708316506,195.1078573944182
LDV_08,DSS,lower,fleet_before_positive_median,13.49301397205589,23.39413164155432,6.039110429447852,44.757312502268846,25.814638140792347,44.757312502268846,25.814638140792347,-9.901117669498431,61.837722362478004,41.035985195783944
LDV_02,DSS,lower,fleet_before_positive_median,0.7146391072508385,1.5187144816774447,6.039110429447852,100.0,100.0,845.0573678621989,397.6462002770631,-0.8040753744266063,178.83726355655875,159.81080536962793
LDV_07,DSS,lower,fleet_before_positive_median,,,6.039110429447852,,,,,,,
