vehicle,vehicle_class,before_fuel_efficiency_km_l,after_fuel_efficiency_km_l,class_before_median_fe,before_fes_raw,after_fes_raw,before_fes,after_fes,fuel_efficiency_change_pct,fes_change,valid_pair,change_status
LDV_06,Light-Duty,7.008864589415596,7.650745168255292,8.875761198570189,78.96634928105847,86.19818624106024,78.96634928105847,86.19818624106024,9.15812498088533,7.231836960001772,True,Improved
LDV_04,Light-Duty,8.858204992034022,8.922994283083327,8.875761198570189,99.80220055335653,100.53215812657,99.80220055335653,100.0,0.7314042868455671,0.19779944664347227,True,Improved
HDV_04,Heavy-Duty,4.147011866945366,4.15359694379161,3.9738431593043173,104.35771369676716,104.52342423395393,100.0,100.0,0.1587908850401702,0.0,True,Improved
HDV_03,Heavy-Duty,3.891300274196813,3.88233431283739,3.9738431593043173,97.92284491867176,97.69722047905516,97.92284491867176,97.69722047905516,-0.23041042139246617,-0.2256244396165954,True,Declined
HDV_01,Heavy-Duty,4.056386044411822,4.009755307737462,3.9738431593043173,102.07715508132824,100.90371328191603,100.0,100.0,-1.1495635810748068,0.0,True,Declined
LDV_03,Light-Duty,8.85971492873218,8.493053642410173,8.875761198570189,99.8192124655112,95.68817200465391,99.8192124655112,95.68817200465391,-4.13852239345669,-4.131040460857292,True,Declined
HDV_02,Heavy-Duty,3.869758501635208,3.693522410338986,3.9738431593043173,97.38075576975386,92.9458527242327,97.38075576975386,92.9458527242327,-4.554188361411998,-4.4349030455211675,True,Declined
LDV_02,Light-Duty,9.64732711073401,9.142294083396765,8.875761198570189,108.69295483398216,103.00292987681455,100.0,100.0,-5.2349528687103835,0.0,True,Declined
LDV_05,Light-Duty,8.961306964746495,8.427178518556358,8.875761198570189,100.96381329175561,94.94598074488425,100.0,94.94598074488425,-5.960385558617523,-5.0540192551157475,True,Declined
LDV_01,Light-Duty,11.099643560142509,10.20904252768856,8.875761198570189,125.05568042919597,115.02159983003094,100.0,100.0,-8.023690379139657,0.0,True,Declined
LDV_07,Light-Duty,8.17347200821776,7.424729322193092,8.875761198570189,92.08756100304318,83.65174722579461,92.08756100304318,83.65174722579461,-9.160644157976778,-8.435813777248569,True,Declined
LDV_08,Light-Duty,8.891807468408198,7.743718335806771,8.875761198570189,100.1807875344888,87.24568138509878,100.0,87.24568138509878,-12.91176329087742,-12.754318614901223,True,Declined
