vehicle,before_rpm_efficiency_ratio,before_avg_rpm,after_rpm_efficiency_ratio,after_avg_rpm,valid_pair,before_res_raw,after_res_raw,before_res,after_res,rpm_efficiency_change_pct,rpm_efficiency_change_pp,res_raw_change,res_change,change_status
LDV_06,0.168922102685738,1231.5583014059923,0.209174247881974,1201.0454382937917,True,70.41137110889227,87.18957057645356,70.41137110889227,87.18957057645356,23.8288208329498,4.025214519623599,16.778199467561294,16.778199467561294,Improved
HDV_02,0.4505637727952362,1102.891300260712,0.4837821574038873,1123.7389926847875,True,187.8073532717545,201.65368817482533,100.0,100.0,7.37262661011754,3.321838460865112,13.84633490307084,0.0,Improved
LDV_07,0.2151085381482547,1078.118506566538,0.2427068579131237,1066.822829064144,True,89.663145718863,101.16688326445382,89.663145718863,100.0,12.829950871521431,2.7598319764869013,11.503737545590809,10.336854281136993,Improved
HDV_04,0.4774183718722585,1145.2010847518509,0.4936728601159137,1155.1776891299926,True,199.00108761160286,205.77640467024943,100.0,100.0,3.4046633312227006,1.6254488243655218,6.7753170586465785,0.0,Improved
LDV_03,0.2065433510049061,1088.990993405186,0.2140859885604916,1081.6346632118334,True,86.092940511973,89.23691897081466,86.092940511973,89.23691897081466,3.6518423463587317,0.7542637555585513,3.1439784588416586,3.1439784588416586,Improved
HDV_01,0.4580000960573487,1136.4867608863908,0.4637481424190655,1134.1454794232543,True,190.9070170136178,193.30296058222774,100.0,100.0,1.255031693486158,0.5748046361716774,2.395943568609937,0.0,Improved
LDV_01,0.23519487468402,1225.8831975942585,0.2266415596059671,1182.3556097424594,True,98.03568237067726,94.47042576661705,98.03568237067726,94.47042576661705,-3.636692801892101,-0.8553315078052903,-3.5652566040602096,-3.5652566040602096,Declined
HDV_03,0.4437449301125999,1111.9360882969804,0.433943081486994,1096.1113653678758,True,184.96507239183035,180.87939271961662,100.0,100.0,-2.2088925327256566,-0.9801848625605902,-4.085679672213729,0.0,Declined
LDV_02,0.2772242821296154,1276.549403058744,0.2648609003378538,1263.673251694615,True,115.55469354853489,110.40129651132087,100.0,100.0,-4.4597037809195745,-1.2363381791761607,-5.15339703721402,0.0,Declined
LDV_05,0.203935055624286,1184.7260274449486,0.1902697743629433,1162.2141985429555,True,85.00573137186349,79.30966688473211,85.00573137186349,79.30966688473211,-6.700800516865793,-1.3665281261342699,-5.69606448713138,-5.69606448713138,Declined
LDV_04,0.1721353966265915,1249.421642511582,0.1543113930244074,1203.666829310548,True,71.75076026255624,64.3212261025746,71.75076026255624,64.3212261025746,-10.354641724763441,-1.7824003602184084,-7.4295341599816425,-7.4295341599816425,Declined
LDV_08,0.2446199621112965,1188.8570343925387,0.202750234002471,1203.0900807389955,True,101.96431762932272,84.511865183928,100.0,84.511865183928,-17.11623521950172,-4.1869728108825495,-17.452452445394727,-15.488134816072005,Declined
