vehicle,vehicle_class,final_weight_scenario,available_component_count,missing_components,valid_for_fei,fes_direction,fes_baseline_scope,fes_baseline,before_fes_metric,after_fes_metric,before_fes_index,after_fes_index,res_direction,res_baseline_scope,res_baseline,before_res_metric,after_res_metric,before_res_index,after_res_index,ies_direction,ies_baseline_scope,ies_baseline,before_ies_metric,after_ies_metric,before_ies_index,after_ies_index,dss_direction,dss_baseline_scope,dss_baseline,before_dss_metric,after_dss_metric,before_dss_index,after_dss_index,effective_fes_weight,effective_res_weight,effective_ies_weight,effective_dss_weight,effective_weight_sum,before_fei_lite,after_fei_lite,fei_absolute_change,fei_percentage_change,change_status,after_rank
HDV_04,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,4.147011866945366,4.15359694379161,102.13239501359526,102.21169005501277,higher,fleet_before_median,0.2399074183976582,0.4774183718722585,0.4936728601159137,133.11061120292763,134.59272954180986,lower,fleet_before_median,0.2506672860063811,0.113769290145924,0.1138142843898896,137.56428548029294,137.54730354890168,lower,fleet_before_positive_median,6.039110429447852,0.4365772344816638,0.3268710550045086,186.5164208918395,189.7306941340365,0.5,0.2,0.2,0.1,0.9999999999999999,123.8528189326257,124.50692105905235,0.6541021264266504,0.5281285739507257,Improved,1
HDV_02,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,3.869758501635208,3.693522410338986,98.6729991887854,96.34397569257452,higher,fleet_before_median,0.2399074183976582,0.4505637727952362,0.4837821574038873,130.50907222264215,133.6988050071217,lower,fleet_before_median,0.2506672860063811,0.1363186614788425,0.1142733733843431,129.54852114672843,137.37427143627963,lower,fleet_before_positive_median,6.039110429447852,0.4708153344554431,0.553038521260077,185.53546226084316,183.2212977772389,0.5,0.2,0.2,0.1,0.9999999999999999,119.90156449435115,120.70873291269142,0.8071684183402681,0.6731925657052588,Improved,2
HDV_01,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,4.056386044411822,4.009755307737462,101.02790198154376,100.4498240809755,higher,fleet_before_median,0.2399074183976582,0.4580000960573487,0.4637481424190655,131.2495098766773,131.81112130508828,lower,fleet_before_median,0.2506672860063811,0.1734236332200471,0.1905974959890157,118.21393698484088,113.61309410321172,lower,fleet_before_positive_median,6.039110429447852,0.0936134803411691,0.1514249083879304,196.94708316506,195.1078573944182,0.5,0.2,0.2,0.1,0.9999999999999999,120.10134867958152,118.82054086158956,-1.2808078179919562,-1.0664391633178278,Declined,3
HDV_03,Heavy-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,3.9738431593043178,3.891300274196813,3.88233431283739,98.950522825103,98.83519883822098,higher,fleet_before_median,0.2399074183976582,0.4437449301125999,0.433943081486994,129.81596013809104,128.7950610888543,lower,fleet_before_median,0.2506672860063811,0.1806520146627815,0.1778761839425692,116.23281667084586,116.98569857393537,lower,fleet_before_positive_median,6.039110429447852,0.2260353401340487,0.2560916618451878,192.7843549552676,191.86390974804792,0.5,0.2,0.2,0.1,0.9999999999999999,117.96345226986566,117.76014232647321,-0.20330994339244057,-0.17234994354635133,Declined,4
LDV_02,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,9.64732711073401,9.142294083396765,104.165428028415,101.47925445146863,higher,fleet_before_median,0.2399074183976582,0.2772242821296154,0.2648609003378538,107.21612380248754,104.943551529285,lower,fleet_before_median,0.2506672860063811,0.2023409293240702,0.211590356965736,110.66787644172388,108.45349549861358,lower,fleet_before_positive_median,6.039110429447852,0.7146391072508385,1.5187144816774447,178.83726355655875,159.81080536962793,0.5,0.2,0.2,0.1,0.9999999999999999,113.54324041870566,109.40011716827684,-4.143123250428829,-3.648938708416737,Declined,5
LDV_01,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,11.099643560142509,10.20904252768856,111.13310287543648,106.9860887659217,higher,fleet_before_median,0.2399074183976582,0.23519487468402,0.2266415596059671,99.00809914364524,97.15659889590668,lower,fleet_before_median,0.2506672860063811,0.2434942046368635,0.2614576533615948,101.45156624005251,97.89302052570798,lower,fleet_before_positive_median,6.039110429447852,6.039110429447852,6.715822101160004,100.0,94.6945099859348,0.5,0.2,0.2,0.1,0.9999999999999999,105.6584845144578,101.97241926587725,-3.6860652485805474,-3.4886599647150573,Declined,6
LDV_03,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,8.85971492873218,8.493053642410173,99.90952444849614,97.79658220975992,higher,fleet_before_median,0.2399074183976582,0.2065433510049061,0.2140859885604916,92.52682049637868,94.31237779196496,lower,fleet_before_median,0.2506672860063811,0.2578403673758988,0.2723970633717468,98.58938576011457,95.84567799522176,lower,fleet_before_positive_median,6.039110429447852,6.456392887383573,3.7534754402224286,96.66053901667458,123.34046409850252,0.5,0.2,0.2,0.1,0.9999999999999999,97.84405737721417,99.26394867216757,1.419891294953402,1.4511778569027993,Improved,7
LDV_07,Light-Duty,primary_50_20_20_10,3,DSS,True,higher,vehicle_class_before_median,8.875761198570189,8.17347200821776,7.424729322193092,95.88081656321752,91.0982318321722,higher,fleet_before_median,0.2399074183976582,0.2151085381482547,0.2427068579131237,94.54988778027584,100.58005733623652,lower,fleet_before_median,0.2506672860063811,0.2747752193369578,0.2557577462476921,95.41187987545396,98.9948245214788,lower,fleet_before_positive_median,6.039110429447852,,,,,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0,1.0,95.48084645861636,94.96010254181019,-0.5207439168061683,-0.5453909722426591,Declined,8
LDV_06,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,7.008864589415596,7.650745168255292,88.24714768813374,92.58756809742964,higher,fleet_before_median,0.2399074183976582,0.168922102685738,0.209174247881974,82.63693983648503,93.15644061573704,lower,fleet_before_median,0.2506672860063811,0.3190014767279618,0.304904048001703,88.00457472978076,90.237660103152,lower,fleet_before_positive_median,6.039110429447852,18.100575583156616,7.571585903083701,50.03470572313615,88.74065340820948,0.5,0.2,0.2,0.1,0.9999999999999999,83.25534732963364,91.84666953331357,8.591322203679937,10.319243723366187,Improved,9
LDV_04,Light-Duty,primary_50_20_20_10,4,,True,higher,vehicle_class_before_median,8.875761198570189,8.858204992034022,8.922994283083327,99.9010023682944,100.2653729613951,higher,fleet_before_median,0.2399074183976582,0.1721353966265915,0.1543113930244074,83.55218940850159,78.28717887295123,lower,fleet_before_median,0.2506672860063811,0.2887405385742467,0.3404588368422407,92.94165734479913,84.81008580653544,lower,fleet_before_positive_median,6.039110429447852,17.635891286970423,11.007911936704504,51.01676867258527,70.85237878773225,0.5,0.2,0.2,0.1,0.9999999999999999,90.35094740206587,89.83737729536811,-0.513570106697756,-0.568416957945494,Declined,10
