vehicle,before_fes,after_fes,fes_change,before_res,after_res,res_change,before_ies,after_ies,ies_change,before_dss,after_dss,dss_change,before_fei_lite,after_fei_lite,fei_change,fei_change_pct,improved,rank
HDV_04,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,False,1
LDV_02,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,0.0,False,1
HDV_03,98.21404914260754,97.93515809997211,-0.2788910426354078,100.0,100.0,0.0,96.40635122246292,99.60071569361854,3.194364471155609,100.0,100.0,0.0,98.38829481579636,98.88772218870977,0.49942737291341643,0.5076085258398368,True,2
HDV_01,100.0,100.0,0.0,100.0,100.0,0.0,98.76715929296276,87.20057998906712,-11.566579303895622,100.0,100.0,0.0,99.75343185859255,97.44011599781342,-2.3133158607791273,-2.3190338594650197,False,3
LDV_01,100.0,100.0,0.0,99.0572406574911,99.13241919321852,0.0751785357274172,90.6686850383808,93.10351903788909,2.434833999508271,100.0,83.73229463435952,-16.26770536564048,97.94518513917438,96.82041710965747,-1.1247680295169147,-1.1483648000855633,False,4
HDV_02,97.59082855679998,93.22946916678518,-4.3613593900147976,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,98.79541427839999,96.61473458339259,-2.1806796950073988,-2.2072681317600074,False,5
LDV_03,99.6559748111211,95.07269906777404,-4.583275743347059,100.0,100.0,0.0,87.59424964400789,80.44200821393603,-7.152241430071854,68.99777439023616,100.0,31.00222560976384,94.24661477338574,93.62475117667422,-0.6218635967115205,-0.6598259239409077,False,6
LDV_07,92.43138794627323,82.87348790650346,-9.557900039769793,96.05242973382622,100.0,3.947570266173784,99.41688718893332,100.0,0.5831128110666839,100.0,100.0,,95.30955735768853,91.43674395325172,-3.872813404436812,-4.063405089483815,False,7
LDV_04,98.88483171501711,99.42394305774448,0.5391113427273524,80.13311062944604,79.53536085834428,-0.5977497711017605,96.69225303340336,82.44667033867127,-14.24558269473208,67.53239221635715,80.09094685228516,12.558554635928004,91.56072781171414,90.11747245350386,-1.4432553582102798,-1.5762820946314409,False,8
LDV_06,78.25639074270676,86.29359776057184,8.037207017865086,77.91028689601221,87.49573889812534,9.58545200211313,100.0,99.6338422489304,-0.3661577510695935,38.7402670125508,94.59934342500112,55.85907641245031,78.5842794518109,90.03264945219718,11.448370000386277,14.568269990191352,True,9
LDV_05,100.0,93.94934555245118,-6.050654447548823,82.88000002294228,82.91877388246357,0.0387738595212852,100.0,100.0,0.0,26.565112074350257,28.412534343875055,1.8474222695247988,89.23251121202348,86.39968098710581,-2.8328302249176716,-3.174661551535453,False,10
LDV_08,100.0,87.37888254270896,-12.621117457291035,97.37177474575928,84.90626284773896,-12.46551189802031,100.0,100.0,0.0,68.58322412995143,44.6237649412423,-23.959459188709133,96.332677362147,85.1330703350265,-11.199607027120493,-11.625968813279627,False,11
